Program,Year,State,State ANSI,County,County ANSI,FIPS,Commodity,Data Item,Value
SURVEY,2017,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",135
SURVEY,2017,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",707
SURVEY,2017,GEORGIA,13,APPLING,1,13001,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",4771
SURVEY,2017,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",38
SURVEY,2017,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",123.4
SURVEY,2017,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",42
SURVEY,2016,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",201.5
SURVEY,2016,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",805
SURVEY,2016,GEORGIA,13,APPLING,1,13001,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",3277
SURVEY,2016,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",25.4
SURVEY,2016,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",145.3
SURVEY,2016,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",32.5
SURVEY,2015,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",142.4
SURVEY,2015,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",851
SURVEY,2015,GEORGIA,13,APPLING,1,13001,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",4163
SURVEY,2015,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",51.7
SURVEY,2015,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",122.2
SURVEY,2015,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",33.3
