"","County","Quant90","Quant95","Quant99"
"90%","F13143",33.6486292211021,34.51887550354,36.4714881022384
"90%1","F13023",35.8652968375913,36.8325196543047,38.4372876075006
"90%2","F13261",35.5215444988675,36.5374832524194,38.0618605274624
"90%3","F13199",34.6762877268334,35.4773767183905,37.3708490439637
"90%4","F13097",34.1760001873148,34.9920898174417,36.8892585122996
"90%5","F13077",34.240060449025,35.0426874191042,37.0610188305567
"90%6","F13059",35.0421125411987,35.9456746578216,37.8383263111114
"90%7","F13015",34.6756763659025,35.6617972574736,37.4882944619028
"90%8","F37157",34.1392269177383,35.004052760092,36.5962803375587
"90%9","F13087",35.8141903888748,36.4647891492729,37.6310076610152
"90%10","F13169",35.6381688216637,36.615760323097,38.4898741544527
"90%11","F45045",34.1364103152834,35.0530594447564,36.8206582960589
"90%12","F37069",34.521515735827,35.3574697594893,37.4991877726505
"90%13","F37151",34.2940703658371,35.280296270697,37.6566071697613
"90%14","F37197",33.3036582628886,34.2443437655767,36.2744868040085
"90%15","F45009",35.5094379293507,36.4233019072434,37.9166132117962
"90%16","F13277",35.2283999907665,36.017871944721,37.1469420506404
"90%17","F13211",35.2525653398954,36.1627422626202,38.12278430792
"90%18","F13013",34.7179334322611,35.5508001645406,37.3491917387644
"90%19","F13037",35.2757742466071,36.0759206918569,37.4087146622095
"90%20","F13195",34.9114325652252,35.8177081546268,37.6308762978218
"90%21","F13093",35.7693194472999,36.6213507401316,38.3997723268208
"90%22","F37003",33.3148949813843,34.1559972763062,36.2577043552399
"90%23","F13189",35.5696369974237,36.6569604672884,38.4854525756836
"90%24","F13131",35.1434550741444,35.8478113810221,36.9033769933728
"90%25","F13111",32.0057345303622,32.7507528131658,34.2731475219726
"90%26","F13021",35.7307541765485,36.7917397526332,38.3814542301723
"90%27","F37133",33.448476977226,34.3973016820402,36.0989257916834
"90%28","F13235",36.0438446256849,36.855427731408,38.4402355406019
"90%29","F13035",35.1678580499464,36.1131837414157,38.1532070209134
"90%30","F13171",34.9696416536967,35.8465834935506,37.8883923721314
"90%31","F37135",34.5744099553426,35.494688243866,37.8056072909037
"90%32","F37025",34.8931286827992,35.9246068728172,37.7667411791268
"90%33","F37097",33.7146695758986,34.5656836551169,36.7338972357045
"90%34","F37169",33.3113915034703,34.2756558064052,36.2886564788818
"90%35","F13109",35.6464561462402,36.4877443389893,37.8925554473877
"90%36","F45023",35.2924725723267,36.1933486795425,38.2717272377014
"90%37","F37081",34.068890208824,34.9416627996108,36.9794943214865
"90%38","F13003",35.5582205324757,36.2813652583531,37.3956991826272
"90%39","F13201",35.9169673686125,36.7633449320891,37.9319998947455
"90%40","F13081",35.832689325433,36.6416579296714,38.3151501766004
"90%41","F13069",35.747562494278,36.4407526350021,37.5751017913818
"90%42","F13017",35.5696391211616,36.317355495029,37.6837755478753
"90%43","F13053",35.4112552642822,36.2708194732666,37.9565151299371
"90%44","F13149",34.6918756612142,35.4253932952881,37.2746694488525
"90%45","F37145",34.4880953470866,35.3035446045891,37.1970751347617
"90%46","F37181",34.5238710869683,35.4906379021538,37.4989859381782
"90%47","F13217",35.0535559677496,35.8413218707573,38.0028353993486
"90%48","F37107",34.3942138014169,35.3233914605502,37.1516509233672
"90%49","F37045",34.313555236361,35.3613223289376,37.7748579850837
"90%50","F45087",35.5570431477315,36.5501783989571,38.6274794109447
"90%51","F37175",29.5308321544102,30.3122178554535,31.9865306581769
"90%52","F37049",33.966912206014,34.9518630680285,36.7249735099391
"90%53","F13089",34.4561450004578,35.3918576049805,37.3066065597534
"90%54","F13311",32.1609999502859,32.8468708161385,34.2442665776899
"90%55","F13115",35.0187378960687,36.089527001252,37.9796253977595
"90%56","F37065",34.4948159891764,35.3958386027018,37.5168522491455
"90%57","F13213",34.1368667673182,35.0324777850398,36.593134310687
"90%58","F37027",32.811974003004,33.5468347190083,35.472576439899
"90%59","F37147",34.5062937577565,35.3877272844315,37.5932742102941
"90%60","F45041",35.1837552629668,36.1815896790603,38.707149270814
"90%61","F45081",36.0494770595006,37.0385686002459,39.0705282298497
"90%62","F37103",34.0402001071984,34.9902885544468,36.8260960098052
"90%63","F13295",34.2607901025991,35.1528000878506,37.0574767816262
"90%64","F13179",35.2719936189197,35.9135775732616,37.4309518735371
"90%65","F45007",35.067798103605,36.0075393472399,37.9850548485347
"90%66","F13161",35.6405111524794,36.4507087537977,37.6869839409722
"90%67","F37067",33.6275908719576,34.4683924630972,36.5227524191049
