"","County","Quant90","Quant95","Quant99"
"90%","F13143",18.585048897,25.5770608885,45.7801317111
"90%1","F13023",16.516212904,21.221257958,35.406638354
"90%2","F13261",16.276000008,21.789263982,36.8528333914
"90%3","F13199",15.745753406,21.919027312,37.8981890588
"90%4","F13097",18.333655182,27.1245344325,60.4655105489005
"90%5","F13077",17.89404765,23.48369048,36.6977379575
"90%6","F13059",17.720900134,25.438124844,47.2257875864003
"90%7","F13015",15.910078928,23.437000072,42.5670316808
"90%8","F37157",17.31511237,24.4443764575,43.111500027
"90%9","F13087",17.602414508,23.766626534,37.6856627052
"90%10","F13169",15.677931064,19.625965634,38.6766000159999
"90%11","F45045",15.01598795,21.463974149,37.1034620302
"90%12","F37069",20.093105232,26.2281578159999,38.1007220366
"90%13","F37151",17.508288306,24.05807209,39.0694577334
"90%14","F37197",17.606875002,24.564916434,43.0218875772001
"90%15","F45009",19.612758609,24.5721380585,52.7553018083
"90%16","F13277",16.835720542,21.0293334055,35.0993231096
"90%17","F13211",16.38471142,24.09425003,36.1729981118
"90%18","F13013",17.556249986,26.880750067,45.4741998354001
"90%19","F13037",20.440538268,26.9137435614999,40.6289272583
"90%20","F13195",16.473027153,22.387635223,48.072605439
"90%21","F13093",16.108806995,21.865815774,39.1599753871
"90%22","F37003",16.632150035,22.3693524445,40.4505699005
"90%23","F13189",15.943078866,21.981671056,38.9113894883
"90%24","F13131",17.234478241,24.3731521475,40.1023189943
"90%25","F13111",16.451818195,24.2929455,41.0783073265
"90%26","F13021",17.707702754,22.509571413,39.1277257588
"90%27","F37133",21.60179488,28.3801708975,51.2383975725
"90%28","F13235",15.58149991,24.537277806,42.4163775788
"90%29","F13035",15.916774186,22.80780649,43.1395354968
"90%30","F13171",16.996145852,22.589354141,39.0201665376999
"90%31","F37135",18.70900013,25.001583315,40.555899939
"90%32","F37025",20.03898313,27.46144074,44.8403389129999
"90%33","F37097",15.089021718,21.990086948,44.3749000432
"90%34","F37169",16.31365719,24.387357135,40.6598999105
"90%35","F13109",18.778559994,24.915759941,36.9699921252
"90%36","F45023",16.778287527,21.6677999805,33.5942724101999
"90%37","F37081",18.14241176,23.664686258,39.4570587024
"90%38","F13003",15.07408174,20.19163273,34.243020402
"90%39","F13201",19.059326556,26.234326478,43.9536163468
"90%40","F13081",16.543592122,23.8355130655,35.5912922824
"90%41","F13069",15.859162504,21.7189187125,30.0742886422
"90%42","F13017",15.315805509,20.8541666775,40.3807584989001
"90%43","F13053",17.670194415,22.41194453,38.7799386735
"90%44","F13149",18.140355544,26.118533466,54.0047911964
"90%45","F37145",18.098761798,26.2245095635,43.7840142049
"90%46","F37181",20.65000017,26.699111015,40.7819777760001
"90%47","F13217",18.518975594,23.83519517,52.2781023135999
"90%48","F37107",21.478413736,29.356586131,51.2104138317999
"90%49","F37045",15.875193939,20.982014921,36.0408998157001
"90%50","F45087",15.15447298,19.388378385,35.285756719
"90%51","F37175",18.230732113,24.9589641945,49.6438946637
"90%52","F37049",21.10473682,27.849824545,51.4681420332
"90%53","F13089",17.840199958,22.650537409,42.6648324727001
"90%54","F13311",21.19593545,27.821870975,54.7666323810002
"90%55","F13115",15.685621634,23.084229785,42.8742214478
"90%56","F37065",22.478806715,29.7967067125,48.0740667625
"90%57","F13213",16.184407416,21.990592574,38.6983851776001
"90%58","F37027",16.344927546,22.675311612,41.9457630456
"90%59","F37147",22.15218749,30.68500002,42.7368542019999
"90%60","F45041",20.285086296,26.865668076,47.9690783132999
"90%61","F45081",16.020642804,21.995221581,37.6836743249999
"90%62","F37103",23.028084422,30.275014214,57.3783829463999
"90%63","F13295",16.171344256,23.654540958,36.484236075
"90%64","F13179",17.679428561,22.429436545,35.6727608214998
"90%65","F45007",16.804151765,22.42439727,42.4675089265001
"90%66","F13161",16.561022128,21.210844441,32.0582088368
"90%67","F37067",15.927107648,22.401061495,41.5867722552
"90%68","F37191",21.178827564,28.6928277,45.6363817624
"90%69","F37017",19.42162124,26.570878838,40.9138909376
"90%70","F45047",13.775352912,20.199294098,37.8521410899999
"90%71","F37149",16.50401122,25.249305452,46.2100775975
"90%72","F37121",14.87941178,19.963823615,33.771955805
"90%73","F37053",23.526965516,31.638734638,45.4958069012
"90%74","F13107",16.990606035,21.4823485075,34.9850924125
"90%75","F13127",16.75308329,23.004499845,41.2037832405
"90%76","F45019",18.45372152,25.578981073,38.6828493104
"90%77","F45091",15.372447646,20.608690486,35.1586056536999
"90%78","F45053",18.147906178,24.138281268,35.4409000731998
"90%79","F45013",17.842594315,24.9924481425,45.6693832880001
"90%80","F37109",16.5414285,22.07959183,40.032571363
"90%81","F37087",13.519690486,16.8657380895,32.5632093834
"90%82","F45025",18.548661074,24.927245742,38.1793661080001
"90%83","F45035",19.151790216,26.4161606105,44.2890641174
"90%84","F45027",19.904292939,28.46600503,43.7667151524
"90%85","F45031",20.486564108,27.36707688,43.7728436604
"90%86","F45033",21.327627068,28.626152552,42.9600439856
"90%87","F13049",18.086504472,22.9155619985,32.8648931436
"90%88","F37063",19.07738643,25.2352273225,44.1173284195
"90%89","F13001",16.50056338,22.1704578,31.9493111935
"90%90","F45043",20.081479705,25.8190569264999,39.5198569852999
