"","County","Quant90","Quant95","Quant99"
"90%","F13143",33.9625072758372,34.6552853281905,35.8591460493134
"90%1","F13023",36.5122773939563,37.2211935104862,38.4051400756836
"90%2","F13261",36.1366416189406,36.8270721859402,38.09850616667
"90%3","F13199",35.3687643077276,35.9440946082546,36.9713365413718
"90%4","F13097",34.5458209859914,35.3279208084633,36.5220111531224
"90%5","F13077",34.8649110945444,35.5399890960209,36.6577994028728
"90%6","F13059",35.7129251003265,36.331487774849,37.7868771457672
"90%7","F13015",34.8140814630608,35.723568519793,37.121756727319
"90%8","F37157",34.8717707087485,35.6974292069338,36.8492256653175
"90%9","F13087",36.0675374134477,36.6980445356254,37.9388355815842
"90%10","F13169",36.5318102869494,37.2047984748051,38.2788866398252
"90%11","F45045",34.815553441541,35.5761396161441,36.9732442408595
"90%12","F37069",35.4184421639694,36.3691618919373,37.7928114338925
"90%13","F37151",35.1244612272795,35.823365869608,37.1063525383752
"90%14","F37197",34.1516750335693,34.9770127296448,36.3210795132319
"90%15","F45009",36.6995310816271,37.3848622815362,38.6835575564155
"90%16","F13277",35.6523894285544,36.2982791705009,37.3677266927866
"90%17","F13211",36.0422078059269,36.6280615513142,37.8890780698336
"90%18","F13013",35.4215167045593,36.0473333994548,37.4331399949392
"90%19","F13037",35.4815283946502,36.2938051077036,37.5861015163324
"90%20","F13195",35.5261624310468,36.0669429160453,37.2786599009746
"90%21","F13093",36.3917825397693,37.1908543837698,38.2855831320244
"90%22","F37003",33.9044550323486,34.695632390976,36.1233490715027
"90%23","F13189",36.5330526251542,37.1709049927561,38.4001461711683
"90%24","F13131",35.5596349522687,36.166491378563,37.4356530208864
"90%25","F13111",32.2209927923029,32.8960455946489,34.0590475172563
"90%26","F13021",36.4987715148926,37.1564144679478,38.1936662968227
"90%27","F37133",34.3602393777962,35.227504365057,36.4430061216436
"90%28","F13235",36.6772056791518,37.3837332407633,38.8258592817518
"90%29","F13035",35.9055030084425,36.4856257284841,37.5049600687334
"90%30","F13171",35.7691749572754,36.4041376272837,37.4287593046824
"90%31","F37135",35.3425399780273,36.2561116536458,37.5088157170613
"90%32","F37025",35.7840543973244,36.4754322504593,37.871950038328
"90%33","F37097",34.2740370211394,35.1892891220425,36.4974874131576
"90%34","F37169",34.0654629080636,34.870907107762,36.2164880523682
"90%35","F13109",36.5826078491211,37.1477279663086,38.7273278656006
"90%36","F45023",36.2026874637604,36.9502337598801,38.04896235466
"90%37","F37081",34.8338431489234,35.74251574348,36.7166688305724
"90%38","F13003",36.1884979403749,36.8384856165672,37.8492669241769
"90%39","F13201",36.1599304510622,36.8475204623475,38.1378650540722
"90%40","F13081",36.4114475651791,37.1434712761327,38.3775610913729
"90%41","F13069",36.3239825439453,36.9909263134003,38.2166784877777
"90%42","F13017",36.0542443381416,36.8137305471632,37.9469165759617
"90%43","F13053",36.0987109926012,36.623097398546,37.7721346282958
"90%44","F13149",35.2172577752007,35.7652023739285,36.8437488962809
"90%45","F37145",35.1790919107104,36.02246981424,37.2098986065577
"90%46","F37181",35.3590666198731,36.3992155626085,37.7723248172336
"90%47","F13217",35.7614534145448,36.3972658669076,37.7276736208288
"90%48","F37107",35.3204518679915,36.362243165641,37.7051626757918
"90%49","F37045",34.9842895507812,36.0038283789336,37.2834505895358
"90%50","F45087",36.4016460934201,37.2528190303493,38.2774954264872
"90%51","F37175",30.2734142303466,30.9271714925766,32.2241592924936
"90%52","F37049",34.8463772489314,35.8332974216394,36.9366938701429
"90%53","F13089",35.0044798851013,35.789004983902,36.8595109844208
"90%54","F13311",32.6228321198494,33.3131806711996,34.6076528401528
"90%55","F13115",35.1303703308106,36.0295391082764,37.3512805660351
"90%56","F37065",35.4499733072917,36.5113372395833,37.7419368326823
"90%57","F13213",34.2383704503377,34.9839647787588,36.4568675246062
"90%58","F37027",33.2805566041366,34.0872768540313,35.4366090315667
"90%59","F37147",35.4681062618891,36.4188479542732,37.5336237843832
"90%60","F45041",36.3108621005354,37.1816776209864,38.515142178371
"90%61","F45081",36.924897253854,37.640375769479,38.7497244796753
"90%62","F37103",34.9879265691193,36.0026013602673,37.1830870152863
"90%63","F13295",34.1672688343486,35.0225902119621,36.2116951013784
"90%64","F13179",36.2592825995551,36.8628063141354,38.1156198810395
"90%65","F45007",35.8400213582175,36.5372865813119,37.8460731084006
"90%66","F13161",36.3661909145779,37.0892331441243,38.2025639834934
"90%67","F37067",34.4637108905499,35.2897120901255,36.4395558330829
"90%68","F37191",35.6956136243096,36.5468024199036,37.7507655185393
"90%69","F37017",35.3899983955152,36.3238401846452,37.4410083701394
"90%70","F45047",36.4911823609296,37.1785455030554,38.333437909519
"90%71","F37149",34.3767166985406,35.3167667282952,36.6729917759366
"90%72","F37121",29.1658059288474,29.7990499664755,31.0524417428409
"90%73","F37053",33.0976275937311,33.960491397463,35.2902529354753
"90%74","F13107",36.6855048825042,37.4230354578808,38.804150366735
"90%75","F13127",35.7114933522542,36.3099984677633,37.60772402064
"90%76","F45019",34.7942735213268,35.5744791779337,36.7837747955322
"90%77","F45091",35.6780533272879,36.4281886000861,37.8554194488525
"90%78","F45053",36.3269250512123,36.9592561781406,38.4033429956436
"90%79","F45013",35.0984000295963,35.8819772936263,37.2330012325071
"90%80","F37109",34.8789755684989,35.708548954555,37.1603860707186
"90%81","F37087",28.8224833851769,29.5359201930818,30.449391395478
"90%82","F45025",36.3224899938551,37.2188787524983,38.4996767380278
"90%83","F45035",36.2839778193721,36.9683061952944,38.2471623154628
"90%84","F45027",36.8730970594618,37.6555607304428,38.9677755367395
"90%85","F45031",36.3573819282727,37.3385292004316,38.6118327849951
"90%86","F45033",36.0067152120299,37.0150169243247,38.1077646287821
"90%87","F13049",36.1697451026039,36.7570982840209,37.9560932112162
"90%88","F37063",35.3641227201982,36.3532135443254,37.7493688427319
"90%89","F13001",36.5080648932659,37.167460551732,38.400240561257
"90%90","F45043",35.1656405689271,36.1307325533735,37.3039080066216
"90%91","F37079",35.6740369495593,36.5999264064588,37.8347694095812
"90%92","F37101",35.5024605694939,36.3980435764088,37.8048912330435
"90%93","F37129",34.4721560716629,35.5464469075203,36.5116333580017
"90%94","F45049",36.7203341042123,37.4256864966416,38.851690653359
"90%95","F37037",35.2640769188557,36.1039495485638,37.4539107513427
"90%96","F45057",35.9271512473501,36.7660098843458,37.9121543986623
"90%97","F45061",36.3264401949369,37.3720107269287,38.6512403752253
"90%98","F13233",34.7532416232796,35.5614442071249,36.8598804207735
"90%99","F13247",35.5045797348023,36.2171650695801,37.4582703208923
"90%100","F37153",36.1591098409303,37.0760520881331,38.3065805805905
"90%101","F37165",36.2056130948274,36.9782324666562,38.0980555990468
"90%102","F45065",36.7802035467965,37.4502305167062,38.7118363966261
"90%103","F45077",34.6390000317548,35.2820581616582,36.6161311659942
"90%104","F45085",36.4606040798888,37.4266143214946,38.7542931443818
"90%105","F37057",35.009359998703,35.8566288661957,37.0485096302033
"90%106","F45005",36.8672243315598,37.6295380954085,39.1405989890263
"90%107","F37007",36.2876835883418,37.133970801438,38.464273828434
"90%108","F45001",36.1764586791992,36.8769347381592,38.124379603068
"90%109","F45089",36.2622600082064,37.108847432937,38.5445799071597
"90%110","F45003",36.8617481135115,37.5815758886217,38.5561297776427
"90%111","F13057",34.2249531626701,35.0829561412334,36.3698094415665
"90%112","F45051",34.9936180459299,36.1063392836048,36.9567803546536
"90%113","F13121",34.70027386391,35.4745972568042,36.6554086345516
"90%114","F13125",36.4429269964045,37.2205771532926,38.482817660245
"90%115","F13063",35.3351098632812,36.0585197639465,37.1115568161011
"90%116","F37161",34.911407102697,35.7570482209149,37.2389582214355
"90%117","F13133",36.428458707086,37.0444207355894,38.1815325388415
"90%118","F13123",32.7373016680701,33.4884406590866,34.6457288056713
"90%119","F13299",36.3612672995065,37.0104113979194,38.1348270573507
"90%120","F13147",35.3663729281039,36.043151432759,37.3843154288627
"90%121","F37199",28.7147167046865,29.3849083145459,30.5516162737211
"90%122","F13231",35.4695028250558,36.1128941999163,37.1526127341134
"90%123","F13227",33.2515331961892,34.0767398949826,35.3852164967855
"90%124","F13141",36.4982457079206,37.2464199175154,38.5271051668439
"90%125","F13307",35.9417645590646,36.5837106704712,37.9753599984305
"90%126","F37173",29.7940708836423,30.4155542880674,31.7857625753668
"90%127","F37091",35.1269836050565,36.2305196668281,37.7390778163222
"90%128","F37051",35.981550519491,36.6312979904647,37.8807928710623
"90%129","F37193",33.2725561409666,34.0497991076687,35.5590801165397
"90%130","F37163",35.5120979415787,36.4210104828948,37.5088362879186
"90%131","F37137",33.9645482770134,34.8974858227899,36.2125750561882
"90%132","F37187",34.9189267663394,35.7587029681487,37.0461703379014
"90%133","F37125",35.7522113368196,36.5394821059029,37.7561912666177
"90%134","F37155",35.7442592298481,36.6441064162993,37.7474561293696
"90%135","F37171",33.54704699348,34.4271460095574,35.7507578501982
"90%136","F45029",36.3190281055592,36.8632718192207,38.2531824369077
"90%137","F37031",32.6810602348971,33.5026276772281,34.9369034865965
"90%138","F45059",36.4334471360692,37.1013340464178,38.2263718399911
"90%139","F37005",29.8762774436705,30.862835398028,31.993052354628
"90%140","F13101",35.7274864323934,36.2739982922872,37.7455104357402
"90%141","F37085",35.7429835600012,36.4789998177921,37.767425283993
"90%142","F37093",36.0100001065236,36.7412076554209,37.8761130926744
"90%143","F37143",34.5983224674147,35.581928346595,36.7595689874766
"90%144","F13313",34.7104339599609,35.4401902361614,37.0275926673703
"90%145","F37077",35.289570701413,36.2293767277787,37.4129419903639
"90%146","F37095",33.5058796866995,34.1994196886573,35.3928176850699
"90%147","F13009",36.9771701622009,37.8217049789428,39.3990570526123
"90%148","F45039",36.6860078015374,37.4334105704595,38.3493881884825
"90%149","F13029",36.3100483749852,36.9117529377793,38.1944814624209
"90%150","F13275",35.4819638782077,36.0901041719648,37.3432115427653
"90%151","F13099",35.9047542898995,36.6828557423183,38.0281269705636
