"","County","Quant90","Quant95","Quant99"
"90%","F13143",19.519243865,22.7438781015,34.4238757035
"90%1","F13023",17.881935552,23.974129002,46.7579550625999
"90%2","F13261",17.301069485,24.104756935,43.8650986793003
"90%3","F13199",17.84005477,22.90334234,32.4287506772
"90%4","F13097",17.27248274,23.896965524,35.0805242059998
"90%5","F13077",18.905460266,23.628761896,37.7835300004
"90%6","F13059",20.191874906,28.686750164,40.9586124696
"90%7","F13015",15.587052637,22.046874305,32.9830868408
"90%8","F37157",18.386022497,25.172550522,37.8774617501001
"90%9","F13087",19.1434941,25.20192776,48.3845541880001
"90%10","F13169",15.70413797,21.54206902,32.695137958
"90%11","F45045",15.71568965,21.938146555,38.227469889
"90%12","F37069",20.162065775,27.829848809,44.0292335893
"90%13","F37151",19.323675663,24.984996843,39.4736342582999
"90%14","F37197",18.176416546,24.243791818,40.9945541588
"90%15","F45009",20.006241332,27.133758601,51.1340654587997
"90%16","F13277",18.572615402,25.752051218,40.951548604
"90%17","F13211",17.922884626,24.439750132,41.6933962048001
"90%18","F13013",19.662750116,27.963333403,43.2927973767998
"90%19","F13037",19.582358912,27.390076852,46.3217237812001
"90%20","F13195",18.021027104,25.54848647,39.488735024
"90%21","F13093",16.667649188,24.053982341,36.5084702138002
"90%22","F37003",19.236250017,27.3860250315,38.0416327593
"90%23","F13189",19.796631694,26.598368419,43.9129106338001
"90%24","F13131",21.214333212,29.0246956569999,48.6887302078
"90%25","F13111",19.138545365,24.46045455,41.2514909635
"90%26","F13021",16.896000022,24.205628538,39.8004396238
"90%27","F37133",21.061222175,27.5239102375,46.8443109665
"90%28","F13235",18.581055514,27.92191655,49.4551614864
"90%29","F13035",16.124322618,21.849367854,40.2084385104
"90%30","F13171",17.329916592,22.631541669,33.1428251313999
"90%31","F37135",19.304699976,27.808483465,46.4852499542
"90%32","F37025",21.985338963,28.5657543255,49.2526591885001
"90%33","F37097",19.849804418,25.066296822,35.6925674603999
"90%34","F37169",18.12402848,23.936657124,39.5807143456
"90%35","F13109",21.994719896,35.595760158,58.1795521483999
"90%36","F45023",18.395772491,25.888681219,38.2400064358
"90%37","F37081",18.822274548,23.876411834,38.0530470486001
"90%38","F13003",17.690224556,22.6749081855,42.7707734906
"90%39","F13201",18.51212247,24.736857202,45.2597550343999
"90%40","F13081",19.277499934,25.09818414,44.3459684999999
"90%41","F13069",18.510624954,23.64142507,36.1386548828
"90%42","F13017",17.259833314,24.4238054615,43.7314970831
"90%43","F13053",17.51151115,22.53580547,36.4375166018
"90%44","F13149",18.614777785,25.60377781,38.4066222125
"90%45","F37145",18.28382544,25.204087383,55.1692605628
"90%46","F37181",20.07466664,27.448799879,38.9486487407999
"90%47","F13217",20.121365851,26.753045098,45.4700488221
"90%48","F37107",23.454210398,31.637620852,55.3589101896
"90%49","F37045",16.309447676,22.6047164355,37.4454358802
"90%50","F45087",17.817256732,24.443377716,41.2562379650999
"90%51","F37175",18.750839278,26.9427231615,53.8484124963
"90%52","F37049",19.710499991,29.6576051985,49.9343947995
"90%53","F13089",16.826624993,23.171699862,35.3234600063
"90%54","F13311",21.119677342,28.314580762,53.266638709
"90%55","F13115",17.636972856,23.0192905645,34.4520959265
"90%56","F37065",20.691933325,29.70553338,53.3352000725
"90%57","F13213",18.03135194,24.8003239335,38.6818945024
"90%58","F37027",17.048504362,23.858666696,41.7628523044
"90%59","F37147",21.690833342,33.09193747,49.7736209584
"90%60","F45041",20.068612152,26.6487012915,44.9605466026001
"90%61","F45081",20.297028574,29.723314269,48.878711412
"90%62","F37103",22.66690138,31.28873242,54.023373026
"90%63","F13295",17.34196726,22.5103689025,41.0167787355001
"90%64","F13179",18.212904753,25.7127222575,56.2778477240001
"90%65","F45007",16.595500038,23.478901832,37.4038571765999
"90%66","F13161",18.450266605,22.335777828,47.0682199658
