"","County","Quant90","Quant95","Quant99"
"90%","F13143",33.205444038205,33.8776561178812,35.1074455028627
"90%1","F13023",35.7413548131143,36.6202821731568,37.8068882000831
"90%2","F13261",35.5922275914086,36.3932569556766,37.2213883039687
"90%3","F13199",34.4630001224883,35.2428163502314,36.3920452530743
"90%4","F13097",33.5444619935134,34.2865366245139,35.4886654991939
"90%5","F13077",34.1290474664597,34.8229499181112,35.9411201616318
"90%6","F13059",34.5847001791,35.488912653923,36.5013264083862
"90%7","F13015",33.8555934303686,34.461548067394,35.6155203889546
"90%8","F37157",33.4889844487223,34.3288725306479,35.8202831821228
"90%9","F13087",36.015581930689,36.756365105043,37.9126174269527
"90%10","F13169",35.5175656285779,36.3346905971395,37.6318789304536
"90%11","F45045",33.7211397565644,34.5361938986285,35.4531257802043
"90%12","F37069",34.0466107017116,34.949893329018,36.4484548513513
"90%13","F37151",33.7754486255818,34.5948690019212,36.1901597859838
"90%14","F37197",33.0622666517893,33.8176738739013,35.2624785272281
"90%15","F45009",35.7423516437925,36.8323275467445,38.1055478260435
"90%16","F13277",35.2583900256034,36.0251383659167,37.0172566135113
"90%17","F13211",35.0656020898085,35.8839440822601,37.0707353841341
"90%18","F13013",34.308229192098,35.2433977206548,36.2471279064814
"90%19","F13037",35.3923104310647,36.1268423031538,37.2110144424439
"90%20","F13195",34.2705679713069,35.1777363235886,36.1905906419496
"90%21","F13093",35.935442205061,36.8446711289255,37.7135073323835
"90%22","F37003",32.8901950216294,33.6978410959244,35.0226909694672
"90%23","F13189",35.2576236624466,36.0126394020884,37.4235975245425
"90%24","F13131",35.535012961125,36.2698299159174,37.126644828907
"90%25","F13111",31.2263218411532,31.8303507787531,32.7560464134216
"90%26","F13021",35.6260942840576,36.4397300665719,37.5988435145787
"90%27","F37133",33.2784358766344,34.0392769650516,35.5950911190978
"90%28","F13235",36.0428222020467,36.8673540804121,38.0519716125064
"90%29","F13035",34.9249516148721,35.8076645697317,36.8193931124288
"90%30","F13171",34.7894336700439,35.6690394719442,36.6282796827952
"90%31","F37135",34.0102482668559,34.9200050735474,36.2856434803009
"90%32","F37025",34.4605083594888,35.228905997842,36.6495824690997
"90%33","F37097",33.3145532649496,34.1776239934175,35.4243610605986
"90%34","F37169",32.7330113356454,33.6265457589286,35.0102673574175
"90%35","F13109",35.935087966919,36.8099282302857,38.0507980773926
"90%36","F45023",34.8466150522232,35.7022756791115,36.9706148071289
"90%37","F37081",33.4964303633746,34.3129425086227,35.8820780234243
