"","County","Quant90","Quant95","Quant99"
"90%","F13143",21.331560998,27.891121728,50.4308215084
"90%1","F13023",17.903870828,26.089193477,47.3012452912
"90%2","F13261",19.018111148,32.361583297,49.3544139317999
"90%3","F13199",19.893219165,27.3565753875,43.063863125
"90%4","F13097",22.60120695,29.7451723875,48.678020666
"90%5","F13077",22.495238032,30.18265081,45.0256763028
"90%6","F13059",19.600375106,25.438687623,43.528137579
"90%7","F13015",20.01215793,30.1195921,54.1496604858
"90%8","F37157",19.803865233,26.6430113265,44.8614382665999
"90%9","F13087",22.443011964,30.384650493,47.3614579288
"90%10","F13169",18.033034337,25.666482716,44.1767738983
"90%11","F45045",17.440500034,28.248507755,46.0283044324
"90%12","F37069",19.136184184,24.9438421,38.7062157747999
"90%13","F37151",19.006936844,25.3350494425,41.8536901489
"90%14","F37197",19.477124886,30.227333284,43.1175369828
"90%15","F45009",19.15026724,26.4742672775,53.8116375350002
"90%16","F13277",18.062051364,24.392461609,41.1112255658
"90%17","F13211",17.982942271,27.335942237,46.2598815176999
"90%18","F13013",22.6446999,31.047833334,46.6222831644
"90%19","F13037",21.312897371,26.732624278,46.1841153183
"90%20","F13195",18.53837844,25.21081079,43.749189324
"90%21","F13093",22.137145682,30.6688237055,54.14707191
"90%22","F37003",20.23749997,28.110508707,42.5664748929
"90%23","F13189",20.008736938,24.948421002,41.3384735896
"90%24","F13131",20.66469572,28.6812318725,36.7706638234
"90%25","F13111",21.536145366,28.506118217,55.3021345556
"90%26","F13021",18.914142738,26.5819043295,49.1168685679
"90%27","F37133",22.4844273,30.037248687,48.6308657503
"90%28","F13235",20.38988876,30.442333435,47.564461162
"90%29","F13035",17.794967781,23.381645142,42.3932645703
"90%30","F13171",19.333333295,23.6935417125,44.1391460539999
"90%31","F37135",19.92348333,28.724530088,41.5434482049
"90%32","F37025",19.857122061,27.246101616,45.110115267
"90%33","F37097",18.8891521,25.179923853,39.2949852833
"90%34","F37169",21.109171556,27.954810044,44.152828635
"90%35","F13109",22.213280028,30.277759996,43.0572130548
"90%36","F45023",19.817437555,25.1888749325,41.129231209
"90%37","F37081",18.015233326,25.648578425,38.5481657774
"90%38","F13003",15.974102141,21.299071454,38.3133490826
"90%39","F13201",18.722877582,27.414163323,42.9207917481
"90%40","F13081",22.645210464,28.180684182,60.956358396
"90%41","F13069",16.647749952,22.088762508,39.6584699829999
"90%42","F13017",18.608638885,26.740458527,54.6223555118
"90%43","F13053",21.767947157,27.899805403,42.5211472723
"90%44","F13149",21.9391556,31.409022192,56.3995198444
"90%45","F37145",18.72492068,24.81180951,39.46317455
"90%46","F37181",19.172888894,25.1988,40.2825068192
"90%47","F13217",18.775121935,27.3423780525,40.7383535175
"90%48","F37107",21.34594823,29.288781095,44.9755103198
"90%49","F37045",19.11044773,25.7237313,45.561373173
"90%50","F45087",19.08460136,25.7630811715,42.3123040496
"90%51","F37175",21.247142754,32.448446296,55.0237038292
"90%52","F37049",21.340114103,27.615597456,48.3312367761
"90%53","F13089",19.488199966,25.732450088,47.8083499783999
"90%54","F13311",23.64510309,35.487548511,53.149599706
"90%55","F13115",22.334281066,32.19156752,55.5565622232
"90%56","F37065",18.044693308,26.549093358,47.5587414236
"90%57","F13213",20.011407416,27.602888925,53.4105373366001
"90%58","F37027",18.734405741,28.0137971425,45.9587116755
"90%59","F37147",21.28354161,27.82174478,48.8815261020001
"90%60","F45041",18.19637935,24.518577585,38.155262966
"90%61","F45081",21.719942848,28.1726742,38.926565854
"90%62","F37103",21.320422478,29.534957636,44.7695323772
"90%63","F13295",19.338962301,28.5990237985,68.5777199582999
"90%64","F13179",18.768920664,26.451849235,46.4289937619
"90%65","F45007",18.353999998,30.520419636,39.2308969638
"90%66","F13161",16.717533215,24.811200022,45.6760932001
"90%67","F37067",18.847230766,26.211618482,44.5213846276
"90%68","F37191",20.141724219,26.076172325,43.8950563448999
"90%69","F37017",17.81206065,27.15318187,42.91131829
"90%70","F45047",20.672794175,26.62617649,37.8415367735001
"90%71","F37149",18.693555522,30.504222254,54.1262721181999
"90%72","F37121",16.252411789,20.6848971655,33.013938222
"90%73","F37053",17.569069056,26.17236207,38.6258178985
"90%74","F13107",17.1303637,26.483333324,37.1656243799999
"90%75","F13127",17.382816705,26.623566548,36.6020585518999
"90%76","F45019",17.853708866,22.680063228,34.4419291488
"90%77","F45091",20.018154236,25.9926285625,44.7195235644
"90%78","F45053",18.98282348,24.87182817,50.6752812778999
"90%79","F45013",17.67692453,25.515556601,50.9849516368
"90%80","F37109",18.762612281,26.659438775,44.8586029678
"90%81","F37087",16.692976134,23.187059506,40.8899892718999
"90%82","F45025",19.12391529,24.276211825,38.621596671
"90%83","F45035",18.701345727,28.248938398,46.6601518551
"90%84","F45027",20.02698987,28.06749802,48.8062567478
"90%85","F45031",19.979346165,26.845243671,45.8287435895
"90%86","F45033",20.50867787,25.78465083,40.1841154424
"90%87","F13049",16.863770006,26.029053135,39.674670769
"90%88","F37063",19.027272578,28.228318064,44.8097544673999
"90%89","F13001",18.094295665,25.992429645,40.4003872145001
"90%90","F45043",21.19018695,28.93292691,41.7444341460001
"90%91","F37079",21.810421144,29.358684116,47.8639791352
"90%92","F37101",19.214571452,25.786810877,47.8842671275998
"90%93","F37129",19.095468819,33.48706247,71.8345252109
"90%94","F45049",16.332914637,24.4360475065,41.1662192973999
"90%95","F37037",18.61098157,26.500756855,41.2110505045001
"90%96","F45057",17.670085387,26.061202952,44.8515353218999
"90%97","F45061",20.007664738,24.700676978,45.7536860032
"90%98","F13233",22.99232572,31.083720895,53.987316242
"90%99","F13247",20.72150002,29.03450022,41.3197998
"90%100","F37153",18.795887271,25.937894408,40.9017324736
"90%101","F37165",16.781434705,26.0800216835,44.2861131445
"90%102","F45065",20.098035788,26.390482085,45.4619179116
"90%103","F45077",20.1296892,27.0077026685,51.5748519089001
"90%104","F45085",17.929408108,25.466224508,53.0322368051999
"90%105","F37057",17.515124988,23.958650034,39.1086621794
"90%106","F45005",18.261965426,24.402172406,45.7164481992
"90%107","F37007",18.508012655,26.830791101,39.0224823748
"90%108","F45001",17.225421351,21.081108045,34.8395971572
