"","County","Quant90","Quant95","Quant99"
"90%","F13143",24.00821956,37.79439038,56.735951144
"90%1","F13023",24.161070841,32.8651129495,56.5906806986999
"90%2","F13261",22.774569417,32.104899417,49.0966224217001
"90%3","F13199",26.777698471,45.0473423075,70.7492259559
"90%4","F13097",23.432137916,34.862069136,65.5676274831999
"90%5","F13077",27.74606355,41.582003235,58.9463271523998
"90%6","F13059",31.18312502,45.99687529,74.95062447
"90%7","F13015",22.99657889,34.170855185,57.892039295
"90%8","F37157",27.786235888,39.9403651835,61.2608211768
"90%9","F13087",25.417120384,35.591921557,68.8282431199004
"90%10","F13169",25.298896582,32.333586236,48.6708965544
"90%11","F45045",30.54301712,42.82655171,64.784146515
"90%12","F37069",29.630536925,35.1095724355,63.6502436126999
"90%13","F37151",26.74297292,40.4190315349999,77.5968327219999
"90%14","F37197",25.513874946,37.404916784,71.9857999945998
"90%15","F45009",18.495413811,43.564594701,74.9561944813001
"90%16","F13277",25.705948724,32.6026412659998,61.7598458065997
"90%17","F13211",27.79999997,38.43528841,66.6386154350002
"90%18","F13013",35.705249978,42.83758328,76.0298666164
"90%19","F13037",25.53871786,32.238589755,69.093974285
"90%20","F13195",30.76748656,42.789162294,66.4249865575
"90%21","F13093",24.729301897,31.2343508355,44.7421648515
"90%22","F37003",26.74049983,41.805500175,68.3800999529998
"90%23","F13189",28.075131525,43.362828855,80.0539472725
"90%24","F13131",23.143072532,33.921681122,81.4048637492
"90%25","F13111",28.00237447,38.95734529,71.1523383474
"90%26","F13021",24.284285611,32.4749857385,47.9746799857
"90%27","F37133",25.88486317,41.2339188045,111.998585042
"90%28","F13235",25.285971963,32.40797236,55.8858805887
"90%29","F13035",24.211370925,33.705774113,53.9319808333
"90%30","F13171",26.626499915,36.5841663875,55.2584791735
"90%31","F37135",28.227966638,41.438533463,73.634570234
"90%32","F37025",32.153067759,44.8258644315,77.781821905
"90%33","F37097",28.77702176,36.884624964,67.0550292108
"90%34","F37169",26.37399998,36.436142905,60.788157349
"90%35","F13109",21.010739847,33.8999401475,91.4903881359993
