"","County","Quant90","Quant95","Quant99"
"90%","F13143",27.3846585901772,28.2890098013529,29.6625268591904
"90%1","F13023",30.006199904411,31.0725677059542,32.5845870947069
"90%2","F13261",30.2553667333391,31.2085389799542,32.8784805817074
"90%3","F13199",28.6641260329991,29.5104821766893,31.0441063198978
"90%4","F13097",27.7284620613888,28.6052173351419,29.7670690523345
"90%5","F13077",28.2077618856279,29.1807365205553,30.603535839868
"90%6","F13059",28.1899499416352,28.9921562433243,30.942143778801
"90%7","F13015",27.8378500587062,28.7680711219186,30.276019654023
"90%8","F37157",27.4934044655789,28.7867730087109,30.686735922567
"90%9","F13087",31.484848261454,32.2701121410692,33.6349218851113
"90%10","F13169",29.5724172394851,30.4564258509669,32.0195999888716
"90%11","F45045",27.2162206682666,28.0692913811783,29.7001890096994
"90%12","F37069",27.9090393819307,29.0989684506466,31.1375313372361
"90%13","F37151",27.7596414342657,28.8486612560513,30.9328071845115
"90%14","F37197",26.8854667027791,28.0794124205907,29.8308132616679
"90%15","F45009",29.8679655140844,30.6249689200829,32.4381782341004
"90%16","F13277",30.4551744412153,31.3206872255374,32.9160828301845
"90%17","F13211",28.7862730099605,29.5839462170235,31.4250169005761
"90%18","F13013",27.9231249332428,28.7659790913264,30.4623551050822
"90%19","F13037",30.6078512240679,31.4744974429791,33.115179486397
"90%20","F13195",27.8600541707632,28.6267514254596,30.8220831566888
"90%21","F13093",30.3466806311356,31.3545491938005,32.9626689509341
"90%22","F37003",26.850449962616,27.9308275318146,29.5008869895935
"90%23","F13189",29.1959578564292,30.0389184500042,31.5252347725316
"90%24","F13131",30.996643447876,31.8178927739462,32.9510457810112
"90%25","F13111",26.0114291867343,26.8529362799905,28.2717026318637
"90%26","F13021",29.8897142464774,30.6488685117449,32.2949204810006
"90%27","F37133",28.4103778121818,29.221599966848,31.1162895932972
"90%28","F13235",30.2118166393704,31.2929722150166,33.0089533572727
"90%29","F13035",28.9820774201424,29.8309773968112,31.5697387363065
"90%30","F13171",28.9248832861582,29.858470916748,31.3882408444086
"90%31","F37135",27.8650400479635,28.8940649827322,31.0594100233713
"90%32","F37025",28.3586949558581,29.2047135013645,31.6228393496497
"90%33","F37097",27.1080021153326,28.3642543191495,30.1960451988552
"90%34","F37169",27.0527743148804,28.3370429420471,30.1780506008693
"90%35","F13109",30.4288401641846,31.0950241088867,32.7262578338622
"90%36","F45023",28.3985624313354,29.1536962914467,30.8677949800491
"90%37","F37081",27.4066764307957,28.6584627244986,30.4981119866465
"90%38","F13003",30.9205673217774,31.7577960072731,33.2421496068215
"90%39","F13201",31.4869876939423,32.23300216052,33.6520155256621
"90%40","F13081",30.4588106055008,31.5020184617293,32.9335351823505
"90%41","F13069",30.7593849802017,31.4767001104355,33.2384715366364
"90%42","F13017",30.4842388682895,31.4456056700812,32.8465168952942
"90%43","F13053",29.8656945016649,30.8507887734307,32.598862224155
"90%44","F13149",28.985755589803,29.9805688222249,31.3721048312717
"90%45","F37145",27.6587651086232,28.8632538447304,31.1667545627412
"90%46","F37181",27.7303111012776,28.9961955388387,31.0950284440782
"90%47","F13217",28.444117113439,29.3643242673176,31.0053652758715
"90%48","F37107",28.756851702723,29.7309809914951,32.0394002638192
"90%49","F37045",27.5824477864735,28.6309492965243,30.6347599951901
"90%50","F45087",28.4248378547462,29.3244013013067,30.8517920793069
"90%51","F37175",23.8748784678323,24.828982094356,26.3278572028024
"90%52","F37049",28.6353509467945,29.5525841679489,31.7034755937677
"90%53","F13089",27.6211748981476,28.5295250797272,29.8583490781784
"90%54","F13311",25.7085161762853,26.654461153092,28.0525497005832
"90%55","F13115",28.1439054489136,29.2360284083599,30.7698759573859
"90%56","F37065",28.39086130778,29.5208520584106,31.6900314600627
"90%57","F13213",27.2488666322497,28.2515221666407,29.7120663409763
"90%58","F37027",26.3805131055307,27.4796361453291,29.0174231924527
"90%59","F37147",28.6587041616439,29.6444395442804,32.0634727823734
"90%60","F45041",29.4407706852617,30.4103810195265,32.1495333540028
"90%61","F45081",29.1456971413749,29.8880327633449,31.2809365468706
"90%62","F37103",28.623056331151,29.5902774837655,31.6367687542338
"90%63","F13295",27.1924228980893,28.2386852921032,30.0023482407117
"90%64","F13179",30.1936856890482,31.0501333115593,32.3753406403557
"90%65","F45007",28.0541392530714,28.8609803812844,30.8772245948656
"90%66","F13161",30.4471778276232,31.4297199927436,33.0515950775147
"90%67","F37067",27.1329629516602,28.4409461446908,30.3710556605413
"90%68","F37191",28.6066045519949,29.7131160758008,32.0378619393535
"90%69","F37017",29.0810788356897,29.7788462378762,32.2049851692084
"90%70","F45047",28.6540853500366,29.2496573055492,31.0497958979887
"90%71","F37149",27.0535832722982,27.9980167071024,29.8729528066847
"90%72","F37121",23.2608235078699,24.2640235283795,25.4649293955635
"90%73","F37053",26.8914068419358,28.0100672820519,29.5591497381802
"90%74","F13107",30.2338222503662,31.1715434122567,32.6500045044253
"90%75","F13127",29.9909532674153,30.7987683391571,32.1804073626201
"90%76","F45019",29.0829531874838,29.8164930633352,31.378219331186
