"","County","Year","maytempDays90","maytempDays95","maytempDays99","juntempDays90","juntempDays95","juntempDays99","jultempDays90","jultempDays95","jultempDays99","augtempDays90","augtempDays95","augtempDays99","septempDays90","septempDays95","septempDays99","octtempDays90","octtempDays95","octtempDays99","meantemp","Average.x","sd.x","Anomaly.x","maypptDays90","maypptDays95","maypptDays99","junpptDays90","junpptDays95","junpptDays99","julpptDays90","julpptDays95","julpptDays99","augpptDays90","augpptDays95","augpptDays99","seppptDays90","seppptDays95","seppptDays99","octpptDays90","octpptDays95","octpptDays99","sumppt","Average.y","sd.y","Anomaly.y"
"1","F13001","1981",1,1,0,11,7,0,16,8,3,0,0,0,1,0,0,5,4,1,31.3815623089644,31.0714984969782,0.71333780628678,0.434666169735443,1,0,0,0,0,0,2,1,1,1,1,0,0,0,0,1,0,0,514.251690447,670.225085274081,150.080870168965,-1.03926233004567
"2","F13001","1982",3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,30.9082754131336,31.0714984969782,0.71333780628678,-0.228815972469301,0,0,0,4,3,0,5,2,0,1,0,0,0,0,0,1,0,0,670.904225192,670.225085274081,150.080870168965,0.00452515978321806
"3","F13001","1983",0,0,0,0,0,0,7,2,0,10,8,3,9,4,0,4,3,0,31.1681004323918,31.0714984969782,0.71333780628678,0.135422424778644,0,0,0,1,0,0,3,3,0,1,1,0,0,0,0,0,0,0,393.740281642,670.225085274081,150.080870168965,-1.84223880978839
"4","F13001","1984",0,0,0,2,1,0,0,0,0,0,0,0,9,4,0,9,5,0,31.0872062868818,31.0714984969782,0.71333780628678,0.0220201281428526,2,2,1,2,1,0,3,1,0,0,0,0,3,1,0,1,0,0,621.684224975,670.225085274081,150.080870168965,-0.323431362334402
"5","F13001","1985",2,0,0,8,5,5,0,0,0,0,0,0,4,2,0,5,2,0,31.0372779474474,31.0714984969782,0.71333780628678,-0.0479724321761397,2,1,0,1,1,0,2,1,0,3,2,0,0,0,0,2,1,0,717.319718147,670.225085274081,150.080870168965,0.313795041432652
"6","F13001","1986",8,6,2,7,0,0,17,14,3,4,3,2,5,3,0,9,8,6,32.2606905105285,31.0714984969782,0.71333780628678,1.66708115435589,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,1,0,457.580986049,670.225085274081,150.080870168965,-1.41686344825746
"7","F13001","1987",0,0,0,0,0,0,2,1,0,6,2,0,1,0,0,0,0,0,31.2055269413321,31.0714984969782,0.71333780628678,0.187889164394082,0,0,0,3,2,0,2,1,1,0,0,0,0,0,0,0,0,0,487.327042091,670.225085274081,150.080870168965,-1.21866326452645
"8","F13001","1988",0,0,0,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,30.7324425010541,31.0714984969782,0.71333780628678,-0.475309163394892,0,0,0,0,0,0,2,1,0,1,0,0,4,2,0,0,0,0,521.054084352,670.225085274081,150.080870168965,-0.9939374735377
"9","F13001","1989",2,1,0,2,0,0,0,0,0,2,0,0,1,0,0,4,1,0,30.333756276164,31.0714984969782,0.71333780628678,-1.03421158154298,1,1,0,5,1,0,2,1,0,3,3,0,2,1,0,2,0,0,842.484224685,670.225085274081,150.080870168965,1.14777545743828
"10","F13001","1990",5,4,1,5,3,0,10,7,1,6,1,0,15,7,2,10,8,2,32.5038338221441,31.0714984969782,0.71333780628678,2.00793412678035,1,1,0,1,1,0,1,0,0,2,2,0,0,0,0,2,2,2,574.92788781,670.225085274081,150.080870168965,-0.634972314304899
"11","F13001","1991",0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,30.9051202590379,31.0714984969782,0.71333780628678,-0.233239057952562,2,0,0,2,0,0,4,3,2,3,1,0,0,0,0,0,0,0,719.401126268,670.225085274081,150.080870168965,0.327663618544823
"12","F13001","1992",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,29.9436214011794,31.0714984969782,0.71333780628678,-1.58112620116106,1,0,0,4,2,0,2,1,0,2,0,0,1,1,0,1,1,0,722.192113185,670.225085274081,150.080870168965,0.346260171948717
"13","F13001","1993",0,0,0,4,3,0,5,3,0,2,0,0,1,0,0,2,0,0,31.6374291227554,31.0714984969782,0.71333780628678,0.793355715608474,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1,1,0,495.869718223,670.225085274081,150.080870168965,-1.16174277810881
"14","F13001","1994",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29.8691551654673,31.0714984969782,0.71333780628678,-1.6855174657987,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,3,2,0,828.999155242,670.225085274081,150.080870168965,1.05792343680555
"15","F13001","1995",6,1,0,0,0,0,0,0,0,7,5,0,0,0,0,3,0,0,30.8827627864412,31.0714984969782,0.71333780628678,-0.264581112726127,1,1,0,3,3,0,1,0,0,4,3,2,0,0,0,0,0,0,750.456759676,670.225085274081,150.080870168965,0.534589613663566
"16","F13001","1996",10,5,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,30.8583907556913,31.0714984969782,0.71333780628678,-0.298747296734751,1,0,0,1,0,0,2,1,0,2,0,0,1,0,0,2,1,0,598.200845546,670.225085274081,150.080870168965,-0.479902866014796
"17","F13001","1997",0,0,0,0,0,0,2,1,0,0,0,0,7,3,0,5,1,0,30.2232641526986,31.0714984969782,0.71333780628678,-1.18910611046269,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,2,2,0,632.154647566,670.225085274081,150.080870168965,-0.253666157886879
"18","F13001","1998",10,4,1,21,13,6,8,4,1,4,1,0,1,1,1,0,0,0,32.2642467159182,31.0714984969782,0.71333780628678,1.67206645775412,0,0,0,0,0,0,0,0,0,2,1,0,5,2,1,0,0,0,560.589577872,670.225085274081,150.080870168965,-0.730509539814435
"19","F13001","1999",0,0,0,0,0,0,4,2,0,10,6,3,6,4,2,0,0,0,31.0104233692266,31.0714984969782,0.71333780628678,-0.0856188010972272,0,0,0,2,2,1,2,2,1,1,1,0,2,1,0,1,0,0,637.124224707,670.225085274081,150.080870168965,-0.220553495790736
"20","F13001","2000",10,4,1,3,1,0,5,3,2,2,2,0,0,0,0,1,0,0,31.2660824414491,31.0714984969782,0.71333780628678,0.272779520103902,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,499.378873527,670.225085274081,150.080870168965,-1.13836101532952
"21","F13001","2001",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4243462112004,31.0714984969782,0.71333780628678,-0.907217141828668,0,0,0,1,1,0,2,1,0,2,0,0,0,0,0,0,0,0,488.067324099,670.225085274081,150.080870168965,-1.21373071044966
"22","F13001","2002",6,3,0,2,2,0,3,1,0,3,0,0,2,1,0,7,4,2,31.212062681371,31.0714984969782,0.71333780628678,0.19705135933348,1,1,0,1,1,0,1,0,0,5,2,0,2,0,0,1,0,0,847.450563538,670.225085274081,150.080870168965,1.18086654258063
"23","F13001","2003",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.2381038779652,31.0714984969782,0.71333780628678,-1.1683028877317,1,1,0,4,1,1,3,2,1,2,1,1,1,1,0,1,1,0,974.723380735,670.225085274081,150.080870168965,2.02889478930996
"24","F13001","2004",10,6,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,30.8938730082772,31.0714984969782,0.71333780628678,-0.249006133048867,1,0,0,3,2,0,1,0,0,1,1,1,6,4,2,0,0,0,1029.608169435,670.225085274081,150.080870168965,2.39459621840089
"25","F13001","2005",0,0,0,0,0,0,0,0,0,2,1,0,6,5,2,5,1,0,30.87428032235,31.0714984969782,0.71333780628678,-0.276472342963097,1,0,0,2,1,1,6,4,1,2,1,1,0,0,0,1,0,0,812.786901907,670.225085274081,150.080870168965,0.949899987069762
"26","F13001","2006",6,4,0,2,1,0,4,2,0,10,4,0,0,0,0,7,1,0,31.3744735211152,31.0714984969782,0.71333780628678,0.424728678988869,0,0,0,2,1,1,0,0,0,2,1,0,3,2,1,0,0,0,550.285634298,670.225085274081,150.080870168965,-0.799165482190033
"27","F13001","2007",0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,1,0,0,31.1621780490408,31.0714984969782,0.71333780628678,0.12712007027164,0,0,0,1,1,1,4,2,0,4,3,0,2,1,0,1,1,0,788.270000402,670.225085274081,150.080870168965,0.786542048930157
