"","County","Quant90","Quant95","Quant99"
"90%","F13143",23.026975544,32.300097506,60.8676878011998
"90%1","F13023",22.882129062,33.542355192,71.4884284462
"90%2","F13261",20.443222228,31.376944309,65.5935511237999
"90%3","F13199",21.21668492,31.820958992,62.992887522
"90%4","F13097",26.960655228,37.580913922,77.742703571
"90%5","F13077",23.336984154,43.295809596,61.0686845972001
"90%6","F13059",25.212374872,39.724124696,66.866796792
"90%7","F13015",23.278552704,33.8001973435,65.1652764294
"90%8","F37157",27.082988804,41.847685292,75.8022294414
"90%9","F13087",22.935102418,32.405216892,57.7627228921999
"90%10","F13169",19.86568967,30.599094775,76.4752933279997
"90%11","F45045",20.029034422,29.518931093,51.7455740546
"90%12","F37069",26.380736922,37.448868409,66.7346365129999
"90%13","F37151",28.6269369,36.39360354,69.8713693379999
"90%14","F37197",22.204558362,29.28633319,57.7188834064004
"90%15","F45009",19.970396551,31.045470595,70.7826021348003
"90%16","F13277",22.460974396,31.882564122,68.893005156
"90%17","F13211",22.616269252,36.868172961,70.1069076752
"90%18","F13013",27.670208392,38.696916557,72.0393272846
"90%19","F13037",21.10046155,32.210051274,81.8038413073999
"90%20","F13195",24.313918998,39.745108358,75.4874915669999
"90%21","F13093",21.870403436,36.886333518,59.3891845821996
"90%22","F37003",24.123400067,28.2756250305,47.1913479692999
"90%23","F13189",22.789105254,38.16668406,74.48463974
"90%24","F13131",21.355855046,29.206159482,74.3634581021996
"90%25","F13111",25.327636398,36.0457816839999,64.8347783243999
"90%26","F13021",19.696428552,33.7765286515,93.0895126864
"90%27","F37133",26.694888864,41.3179829,129.408200676
"90%28","F13235",21.851277642,35.727888834,72.6255847196
"90%29","F13035",19.786645238,33.737161266,68.4404907003999
"90%30","F13171",22.5948333020001,33.373916692,70.3070497739999
"90%31","F37135",27.655849929,36.341683192,78.3478199843004
"90%32","F37025",28.260932237,38.285508512,77.393698341
"90%33","F37097",22.121826134,30.192086927,59.1766631519999
"90%34","F37169",26.325914298,35.175207038,62.33302574
"90%35","F13109",22.801959973,36.152740151,61.6381079146001
"90%36","F45023",23.751487499,32.2323312595,61.7330751608
"90%37","F37081",26.46813734,36.0902891825,67.94590176
"90%38","F13003",17.474591845,25.3550511525,53.6066324929998
"90%39","F13201",23.27883681,38.0549386495,56.283788066
"90%40","F13081",23.040315764,34.922631558,65.9795578456
"90%41","F13069",20.100175012,32.3466125085,59.5188411770997
"90%42","F13017",22.5722223,32.0117358675,77.6944988000004
"90%43","F13053",18.870277692,28.726750112,75.3733414817999
"90%44","F13149",23.62755553,38.44711126,66.512177865
"90%45","F37145",26.683714354,39.515968148,83.7310125226
"90%46","F37181",24.77178887,37.6117277725,75.9036775555002
"90%47","F13217",26.356761012,37.660219443,74.5881853474
"90%48","F37107",29.971996537,43.8721377149999,130.496209652999
"90%49","F37045",22.59035821,29.049731354,51.5835520336
"90%50","F45087",22.912337796,33.333540449,60.8393756759001
